Time	Value
10/3/2017 2:15:00 PM	64
10/3/2017 2:20:00 PM	64
10/3/2017 2:25:00 PM	67
10/3/2017 2:30:00 PM	67
10/3/2017 2:35:00 PM	66
10/3/2017 2:40:00 PM	61
10/3/2017 2:45:00 PM	61
10/3/2017 2:50:00 PM	61
10/3/2017 2:55:00 PM	63
10/3/2017 3:00:00 PM	62
10/3/2017 3:05:00 PM	62
10/3/2017 3:10:00 PM	63
10/3/2017 3:15:00 PM	61
10/3/2017 3:20:00 PM	71
10/3/2017 3:25:00 PM	58
10/3/2017 3:30:00 PM	62
10/3/2017 3:35:00 PM	65
10/3/2017 3:40:00 PM	62
10/3/2017 3:45:00 PM	59
10/3/2017 3:50:00 PM	59
10/3/2017 3:55:00 PM	70
10/3/2017 4:00:00 PM	71
10/3/2017 4:05:00 PM	62
10/3/2017 4:10:00 PM	60
10/3/2017 4:15:00 PM	58
10/3/2017 4:20:00 PM	59
10/3/2017 4:25:00 PM	60
10/3/2017 4:30:00 PM	60
10/3/2017 4:35:00 PM	59
10/3/2017 4:40:00 PM	58
10/3/2017 4:45:00 PM	59
10/3/2017 4:50:00 PM	54
10/3/2017 4:55:00 PM	60
10/3/2017 5:00:00 PM	56
10/3/2017 5:05:00 PM	58
